2021-05-07-005515  -- Start ex Rollback Unexpected character encountered while parsing value: {. Path '', line 1, position 1.
2021-05-07-005641  -- Start ex Rollback Unexpected character encountered while parsing value: {. Path '', line 1, position 1.
2021-05-07-005749  -- Start ex Rollback Unexpected character encountered while parsing value: {. Path '', line 1, position 1.
2021-05-07-010609  -- Start ex Rollback Unexpected character encountered while parsing value: {. Path '', line 1, position 1.
2021-05-07-010651  -- Start ex Rollback Unexpected character encountered while parsing value: {. Path '', line 1, position 1.
2021-05-07-010801  -- Start ex Rollback Unexpected character encountered while parsing value: {. Path '', line 1, position 1.
2021-05-07-011100  -- Start ex Rollback Unexpected character encountered while parsing value: {. Path '', line 1, position 1.
2021-05-07-011127  -- Start ex Rollback Unexpected character encountered while parsing value: {. Path '', line 1, position 1.
2021-05-07-012238  -- Start ex Rollback Unexpected character encountered while parsing value: {. Path '', line 1, position 1.
2021-05-07-013322  -- Start ex Rollback Unexpected character encountered while parsing value: {. Path '', line 1, position 1.
